"COMMUNE_NOM","COLL_INSEE","ENFANT_SEXE","ENFANT_PRENOM","NOMBRE_OCCURRENCES","ANNEE"
"Digne-les-Bains","04070","F","Kelly",2,2017
"Digne-les-Bains","04070","F","Kellyana",1,2017
"Digne-les-Bains","04070","M","Kenny",1,2017
"Digne-les-Bains","04070","M","Kenzo",1,2017
"Digne-les-Bains","04070","M","Kien",1,2017
"Digne-les-Bains","04070","M","Killian",1,2017
"Digne-les-Bains","04070","F","Kyara",1,2017
"Digne-les-Bains","04070","M","Kylian",2,2017
"Digne-les-Bains","04070","M","Kyliane",1,2017
"Digne-les-Bains","04070","F","Lana",1,2017
"Digne-les-Bains","04070","F","Lanna",1,2017
"Digne-les-Bains","04070","M","Lassana",1,2017
"Digne-les-Bains","04070","M","Lawai'a",1,2017
"Digne-les-Bains","04070","F","Layana",1,2017
"Digne-les-Bains","04070","F","Léa",1,2017
"Digne-les-Bains","04070","M","Léandro",1,2017
"Digne-les-Bains","04070","F","Léane",1,2017
"Digne-les-Bains","04070","F","Léna",1,2017
"Digne-les-Bains","04070","F","Lenays",1,2017
"Digne-les-Bains","04070","M","Léo",3,2017
"Digne-les-Bains","04070","F","Léonie",2,2017
"Digne-les-Bains","04070","F","Lexy",1,2017
"Digne-les-Bains","04070","M","Liam",2,2017
"Digne-les-Bains","04070","F","Lily",1,2017
"Digne-les-Bains","04070","F","Lily-Rose",1,2017
"Digne-les-Bains","04070","F","Lina",1,2017
"Digne-les-Bains","04070","M","Lino",1,2017
"Digne-les-Bains","04070","F","Lisy",1,2017
"Digne-les-Bains","04070","M","Loan",1,2017
"Digne-les-Bains","04070","M","Logan",1,2017
"Digne-les-Bains","04070","F","Lola",1,2017
"Digne-les-Bains","04070","M","Lorenzo",2,2017
"Digne-les-Bains","04070","F","Lorine",1,2017
"Digne-les-Bains","04070","M","Loucas",1,2017
"Digne-les-Bains","04070","M","Louis",7,2017
"Digne-les-Bains","04070","F","Louise",2,2017
"Digne-les-Bains","04070","M","Louka",2,2017
"Digne-les-Bains","04070","F","Loulya",1,2017
"Digne-les-Bains","04070","F","Louna",1,2017
"Digne-les-Bains","04070","M","Lucas",1,2017
"Digne-les-Bains","04070","F","Lucciana",1,2017
"Digne-les-Bains","04070","M","Lucenzo",1,2017
"Digne-les-Bains","04070","M","Lucian",1,2017
"Digne-les-Bains","04070","M","Lùciano",1,2017
"Digne-les-Bains","04070","F","Lucie",1,2017
"Digne-les-Bains","04070","F","Luna",1,2017
"Digne-les-Bains","04070","F","Lyanna",1,2017
"Digne-les-Bains","04070","F","Lynaëlle",2,2017
"Digne-les-Bains","04070","M","Lysandre",1,2017
"Digne-les-Bains","04070","F","Lyse",1,2017
"Digne-les-Bains","04070","F","Lysia",1,2017
"Digne-les-Bains","04070","M","Lyvin",1,2017
"Digne-les-Bains","04070","F","Mady",1,2017
"Digne-les-Bains","04070","M","Mael",1,2017
"Digne-les-Bains","04070","F","Maëlle",1,2017
"Digne-les-Bains","04070","F","Maélya",1,2017
"Digne-les-Bains","04070","F","Maëva",1,2017
"Digne-les-Bains","04070","F","Maïa",1,2017
"Digne-les-Bains","04070","M","Malone",1,2017
"Digne-les-Bains","04070","F","Manon",2,2017
"Digne-les-Bains","04070","F","Manuela",1,2017
"Digne-les-Bains","04070","F","Margot",1,2017
"Digne-les-Bains","04070","F","Mariam",1,2017
"Digne-les-Bains","04070","F","Marie",1,2017
"Digne-les-Bains","04070","M","Marin",1,2017
"Digne-les-Bains","04070","F","Marion",1,2017
"Digne-les-Bains","04070","F","Marwa",1,2017
"Digne-les-Bains","04070","M","Mathias",1,2017
"Digne-les-Bains","04070","M","Mathieu",2,2017
"Digne-les-Bains","04070","F","Mathilda",1,2017
"Digne-les-Bains","04070","F","Mathilde",1,2017
"Digne-les-Bains","04070","M","Mathis",1,2017
"Digne-les-Bains","04070","M","Mathys",1,2017
"Digne-les-Bains","04070","M","Mattéo",2,2017
"Digne-les-Bains","04070","M","Matthias",1,2017
"Digne-les-Bains","04070","M","Maurin",1,2017
"Digne-les-Bains","04070","F","Maya",2,2017
"Digne-les-Bains","04070","M","Mayron",1,2017
